City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
158,Lata,PT,40.16,-8.33,64.99,97,45,2.91,scattered clouds,0.0,0
159,Alofi,NU,-19.06,-169.92,78.8,74,100,10.29,overcast clouds,0.0,0
160,Sri Aman,MY,1.24,111.46,80.6,88,20,5.82,few clouds,0.0,0
161,Hambantota,LK,6.12,81.12,80.6,94,90,5.82,overcast clouds,0.0,0
162,Carnarvon,AU,-24.87,113.63,69.8,83,18,11.41,few clouds,0.0,0
163,Roald,NO,62.58,6.13,66.99,82,27,14.99,scattered clouds,0.0,0
164,Kodiak,US,57.79,-152.41,55.4,62,90,13.87,overcast clouds,0.0,0
165,Iqaluit,CA,63.75,-68.51,37.4,86,75,6.93,broken clouds,0.0,0
166,Flinders,AU,-34.58,150.86,60.01,55,3,5.99,clear sky,0.0,0
167,Amurzet,RU,47.7,131.1,71.22,73,100,9.66,light rain,0.39,0
168,Gao,ML,16.64,1.64,89.44,30,0,5.88,clear sky,0.0,0
169,Metkovic,HR,43.05,17.65,62.6,77,0,4.7,clear sky,0.0,0
170,Eyl,SO,7.98,49.82,81.7,59,31,25.81,scattered clouds,0.0,0
171,Ketchikan,US,55.34,-131.65,60.8,72,75,5.82,broken clouds,0.0,0
172,Nemuro,JP,43.32,145.57,55.4,93,75,10.29,light intensity shower rain,0.0,0
173,Luwuk,ID,-0.95,122.79,80.56,73,93,5.06,light rain,0.29,0
174,Katsuura,JP,35.13,140.3,73.4,94,90,12.75,shower rain,0.0,0
175,Haines Junction,CA,60.75,-137.51,68.68,26,100,4.05,overcast clouds,0.0,0
176,Clyde River,CA,70.47,-68.59,30.2,100,90,6.93,heavy snow,0.0,0
177,Faanui,PF,-16.48,-151.75,76.71,79,96,19.28,overcast clouds,0.0,0
178,Gizo,SB,-8.1,156.84,83.07,71,100,6.31,light rain,0.21,0
179,Boyuibe,BO,-20.42,-63.28,47.55,61,0,3.2,clear sky,0.0,0
180,Nishihara,JP,26.18,127.76,87.8,74,75,19.46,broken clouds,0.0,0
181,Batetskiy,RU,58.65,30.3,61.5,82,0,2.95,clear sky,0.0,0
182,Baracoa,CU,20.35,-74.5,81.72,83,100,9.71,overcast clouds,0.0,0
183,Tyukhtet,RU,56.54,89.3,75.97,55,1,10.45,clear sky,0.0,0
184,Hamilton,US,39.18,-84.53,75.0,94,75,4.7,broken clouds,0.0,0
185,Castelo Do Piaui,BR,-5.32,-41.55,74.19,71,27,2.93,scattered clouds,0.0,0
186,Iracoubo,GF,5.48,-53.2,77.23,87,85,4.81,overcast clouds,0.0,0
187,La Tuque,CA,47.43,-72.78,58.68,96,83,3.91,light rain,0.91,0
188,Hofn,IS,64.25,-15.21,54.27,85,99,17.09,light rain,0.13,0
189,Ponta Do Sol,PT,32.67,-17.1,69.8,83,40,13.87,scattered clouds,0.0,0
190,Sompeta,IN,18.93,84.6,86.38,73,100,10.42,overcast clouds,0.0,0
191,Cayenne,GF,4.93,-52.33,77.0,100,85,4.41,overcast clouds,0.0,0
192,Castro,BR,-24.79,-50.01,51.17,96,99,5.32,overcast clouds,0.0,0
193,Tangzhai,CN,34.43,116.59,86.0,51,90,1.01,overcast clouds,0.0,0
194,Biak,ID,-0.91,122.88,77.7,80,94,5.93,light rain,0.38,0
195,Sinegorye,RU,62.08,150.48,72.45,45,18,5.5,light rain,0.26,0
196,Vila Velha,BR,-20.33,-40.29,71.6,83,0,3.36,clear sky,0.0,0
197,Jumla,NP,29.27,82.18,70.47,52,38,3.11,scattered clouds,0.0,0
198,Gwadar,PK,25.12,62.33,86.07,73,80,6.62,broken clouds,0.0,0
199,Lima,PE,-12.04,-77.03,60.8,87,90,8.05,overcast clouds,0.0,0
200,Riberalta,BO,-10.98,-66.1,71.29,94,56,3.02,broken clouds,0.0,0
201,Ntoum,GA,0.38,9.78,75.2,94,20,6.93,few clouds,0.0,0
202,Touros,BR,-5.2,-35.46,73.4,94,47,3.36,light rain,0.13,0
203,Upernavik,GL,72.79,-56.15,38.17,85,10,8.75,clear sky,0.0,0
204,Lasa,IT,46.62,10.7,53.6,100,5,3.36,clear sky,0.0,0
205,Manggar,ID,-2.88,108.27,84.22,74,79,14.52,broken clouds,0.0,0
206,Marzuq,YE,14.4,46.47,80.06,42,90,6.24,overcast clouds,0.0,0
207,Bobcaygeon,CA,44.55,-78.54,66.2,93,75,2.24,broken clouds,0.0,0
208,Gisborne,NZ,-38.65,178.0,64.0,42,0,5.99,clear sky,0.0,0
209,New Norfolk,AU,-42.78,147.06,48.99,86,0,7.0,clear sky,0.0,0
210,Kamenka,RU,51.32,42.77,64.99,75,0,1.99,clear sky,0.0,0
211,Lorengau,PG,-2.02,147.27,84.27,78,56,11.36,light rain,0.35,0
212,Salekhard,RU,66.53,66.6,51.71,57,0,7.81,clear sky,0.0,0
213,Sechura,PE,-5.56,-80.82,66.4,80,0,9.86,clear sky,0.0,0
214,Sitka,US,57.05,-135.33,60.8,72,20,10.29,few clouds,0.0,0
215,Honiara,SB,-9.43,159.95,89.6,66,75,11.41,broken clouds,0.0,0
216,Fairbanks,US,64.84,-147.72,69.8,35,1,2.51,clear sky,0.0,0
217,Mathbaria,BD,22.29,89.96,84.92,79,100,11.92,moderate rain,1.28,0
218,Panalingaan,PH,8.78,117.42,77.4,92,99,13.91,heavy intensity rain,9.63,0
219,Phan Thiet,VN,10.93,108.1,83.37,75,100,9.35,overcast clouds,0.0,0
220,Cap Malheureux,MU,-19.98,57.61,72.0,78,51,5.99,broken clouds,0.0,0
221,Porto Velho,BR,-8.76,-63.9,78.8,83,100,4.7,overcast clouds,0.0,0
222,Khatanga,RU,71.97,102.5,79.99,36,100,8.72,overcast clouds,0.0,0
223,Blagoyevo,RU,63.37,47.92,45.54,93,100,9.48,light rain,0.77,0
224,Yining,CN,29.04,114.56,87.1,70,100,6.22,light rain,0.43,0
225,Pacific Grove,US,36.62,-121.92,60.01,87,90,5.82,mist,0.0,0
226,Teguldet,RU,57.31,88.17,73.06,65,2,10.09,clear sky,0.0,0
227,Ancud,CL,-41.87,-73.82,45.0,100,100,3.36,overcast clouds,0.0,0
228,Anadyr,RU,64.75,177.48,41.0,65,75,20.13,shower rain,0.0,0
229,Utrecht,NL,52.0,5.25,63.0,78,100,5.01,overcast clouds,0.0,0
230,Rocha,UY,-34.48,-54.33,41.0,86,14,3.69,few clouds,0.0,0
231,Ahipara,NZ,-35.17,173.17,58.6,64,1,15.26,clear sky,0.0,0
232,Port Hardy,CA,50.7,-127.42,59.0,67,75,13.87,broken clouds,0.0,0
233,Souillac,MU,-20.52,57.52,69.8,88,40,8.05,scattered clouds,0.0,0
234,Sahuaripa,MX,29.05,-109.23,81.19,53,54,8.66,moderate rain,2.59,0
235,Port Augusta,AU,-32.5,137.77,60.8,36,0,9.17,clear sky,0.0,0
236,Avera,US,33.19,-82.53,73.4,83,1,6.49,clear sky,0.0,0
237,Launceston,AU,-41.45,147.17,50.0,87,0,3.36,clear sky,0.0,0
238,Tabou,CI,4.42,-7.35,75.69,80,100,6.78,overcast clouds,0.0,0
239,Skjervoy,NO,70.03,20.97,47.88,84,0,11.63,clear sky,0.0,0
240,Kurbnesh,AL,41.78,20.08,68.0,82,0,1.12,clear sky,0.0,0
241,Dubbo,AU,-32.25,148.62,59.0,62,75,9.17,broken clouds,0.0,0
242,Gappal,PH,16.84,121.82,89.78,59,100,1.68,overcast clouds,0.0,0
243,Kamra,PK,33.75,73.51,87.8,58,20,6.93,haze,0.0,0
244,Jambi,ID,-1.6,103.62,84.56,70,47,6.4,scattered clouds,0.0,0
245,Mahebourg,MU,-20.41,57.7,69.8,88,40,8.05,scattered clouds,0.0,0
246,Simao,CN,22.79,100.97,72.43,82,100,3.2,overcast clouds,0.0,0
247,Gorin,RU,51.2,136.67,78.28,40,26,3.87,scattered clouds,0.0,0
248,Ocos,GT,14.51,-92.19,78.8,88,75,2.24,broken clouds,0.0,0
249,Gotsu,JP,35.0,132.22,77.0,88,75,9.17,broken clouds,0.0,0
250,Yenagoa,NG,4.92,6.26,73.94,93,57,3.65,broken clouds,0.0,0
251,Kahului,US,20.89,-156.47,84.2,62,20,21.92,few clouds,0.0,0
252,Tilichiki,RU,60.47,166.1,52.79,77,100,10.74,light rain,0.14,0
253,Port Lincoln,AU,-34.73,135.87,59.92,46,0,11.54,clear sky,0.0,0
254,Ternate,ID,0.8,127.4,82.71,72,100,4.88,light rain,0.28,0
255,Beian,NO,63.66,9.57,71.6,60,0,16.11,clear sky,0.0,0
256,Kurumkan,RU,54.3,110.3,72.39,57,99,4.59,light rain,0.14,0
257,Nyurba,RU,63.28,118.33,83.8,37,10,3.02,clear sky,0.0,0
258,Morgaushi,RU,55.96,46.77,55.4,76,87,11.18,overcast clouds,0.0,0
259,Vila Franca Do Campo,PT,37.72,-25.43,68.0,88,75,11.41,broken clouds,0.0,0
260,Lazurne,UA,46.08,32.53,73.0,100,0,2.26,clear sky,0.0,0
261,Parkersburg,US,39.27,-81.56,75.0,88,90,3.36,overcast clouds,0.0,0
262,Itaituba,BR,-4.28,-55.98,77.54,68,82,1.61,broken clouds,0.0,0
263,Rincon,US,32.3,-81.24,77.0,88,40,8.05,moderate rain,3.3,0
264,Hinesville,US,31.85,-81.6,72.0,88,20,2.64,few clouds,0.0,0
265,Te Anau,NZ,-45.42,167.72,46.44,88,100,3.94,light rain,0.23,0
266,Novaya Ladoga,RU,60.1,32.3,57.06,62,32,11.27,scattered clouds,0.0,0
267,Winnemucca,US,40.97,-117.74,84.2,23,75,4.7,haze,0.0,0
268,Gazanjyk,TM,39.24,55.52,76.24,17,0,17.54,clear sky,0.0,0
269,Samarai,PG,-10.62,150.67,79.18,82,33,15.14,scattered clouds,0.0,0
270,Kavieng,PG,-2.57,150.8,83.61,77,6,12.28,moderate rain,2.1,0
